day_of_week,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Monday,0.8001383551114527,0.6988437343528654,0.5495882885562023,0.3991881874644302,0.24970798349467793,0.1305586555554394,0.06444461757571669,0.022924212524548484,0.01023485784919654,0.00397476886183396,0.02424929383026653,0.07879168729198514,0.1890312386877452,0.34725179547158264,0.45775424248153695,0.5624212049493164,0.6386371422952203,0.6655707837177639,0.6438260765466137,0.5766665558204253,0.5619681921959813,0.5576615496874611,0.5679545543078491,0.5985780644156011
Tuesday,0.6229449059342961,0.5755919046772997,0.47110289793246424,0.34816002523493855,0.21003444151071393,0.1115379915991217,0.05199664800966072,0.017752570286809898,0.006600741656365883,0.004379040939317383,0.02354410271076067,0.07858840161936857,0.15290774710715063,0.27938615251746063,0.3732179392290232,0.462273728775716,0.5622378716001477,0.5794097912701934,0.5416169362922312,0.5025773081275314,0.4849177916768408,0.49251459132415965,0.5503134890057948,0.613105332115925
Wednesday,0.6026706659990556,0.5594357102884632,0.47643446279319224,0.33046909812647685,0.2046692427333163,0.11148704666658432,0.06121665467943742,0.024744909544716483,0.005746896226065524,0.002834237046904112,0.018841416082902854,0.08004015167566264,0.17987713169198552,0.3162789296813614,0.39221733970920913,0.4665098350702939,0.555279052245634,0.5930135704302766,0.538495670820867,0.4896865489986309,0.46944079338038913,0.4989193821620528,0.5540812667635147,0.6269522635910951
Thursday,0.6314606335907816,0.582305348457828,0.46555229456470204,0.33992925476171704,0.20842453603722152,0.11017904835018037,0.04951925351707206,0.013548596734089684,0.001665087899485895,0.0013066871637202153,0.022066433636196935,0.07924215374880404,0.16829298371795395,0.27452555750117097,0.3580925578783649,0.4419654178729113,0.5477221572452111,0.5746980025824007,0.5448912455855485,0.4805994058008055,0.467086951275476,0.49091783538193023,0.5596529245830677,0.6335281313508958
Friday,0.6345479231056457,0.5764063395182368,0.47089522274868906,0.33001770056123036,0.21107870811556007,0.11776184336666004,0.05172565745281038,0.022653716025231137,0.00580110953920584,0.0032304141817314624,0.01945739181327666,0.07125818401552861,0.1760586940349204,0.2926402719596697,0.3828684410299579,0.4698045717423794,0.5929199655299859,0.6339704268562074,0.5851515949032264,0.5379926062389966,0.5074984251916136,0.538285316325086,0.6567667164841345,0.7748294788928171
Saturday,0.8012847776123531,0.7427468458702016,0.6118655517435005,0.44391327770118827,0.3010172644604464,0.16776652741211714,0.0908106819039077,0.040849227892588096,0.00955984224362927,0.0046125781347237885,0.015396029867678091,0.08019657789149547,0.20189851108161544,0.32516020290562836,0.4492492130708621,0.5843272979138421,0.6984093817725074,0.7616413731379019,0.7595045743076781,0.7213364826334026,0.6986290663547771,0.7323240181319115,0.815307023502887,0.9118170580964153
Sunday,0.8921793732880194,0.8608836979066212,0.7330135134236382,0.5467331680774226,0.3698714215270368,0.21632710029082888,0.12434417187881529,0.05474951758132234,0.0187299681047858,0.008796599363995936,0.019834357710955437,0.08647082352739975,0.19628107693140864,0.37484080421165045,0.5116813062881173,0.6701153339306363,0.7960967934715998,0.8519196890477897,0.8440000418048681,0.7665876301295286,0.7276330558693559,0.7625244819759261,0.799258761682798,0.8125948376688465
